,PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
162,206,N,3,female,2.0,0,1,10.4625,S
163,207,N,3,male,32.0,1,0,15.85,S
164,208,Y,3,male,26.0,0,0,18.7875,C
165,209,Y,3,female,16.0,0,0,7.75,Q
166,210,Y,1,male,40.0,0,0,31.0,C
167,211,N,3,male,24.0,0,0,7.05,S
168,212,Y,2,female,35.0,0,0,21.0,S
169,213,N,3,male,22.0,0,0,7.25,S
170,214,N,2,male,30.0,0,0,13.0,S
171,216,Y,1,female,31.0,1,0,113.275,C
172,217,Y,3,female,27.0,0,0,7.925,S
173,218,N,2,male,42.0,1,0,27.0,S
174,219,Y,1,female,32.0,0,0,76.2917,C
175,220,N,2,male,30.0,0,0,10.5,S
176,221,Y,3,male,16.0,0,0,8.05,S
177,222,N,2,male,27.0,0,0,13.0,S
178,223,N,3,male,51.0,0,0,8.05,S
179,225,Y,1,male,38.0,1,0,90.0,S
180,226,N,3,male,22.0,0,0,9.35,S
181,227,Y,2,male,19.0,0,0,10.5,S
182,228,N,3,male,20.5,0,0,7.25,S
183,229,N,2,male,18.0,0,0,13.0,S
184,231,Y,1,female,35.0,1,0,83.475,S
185,232,N,3,male,29.0,0,0,7.775,S
186,233,N,2,male,59.0,0,0,13.5,S
187,234,Y,3,female,5.0,4,2,31.3875,S
188,235,N,2,male,24.0,0,0,10.5,S
189,237,N,2,male,44.0,1,0,26.0,S
190,238,Y,2,female,8.0,0,2,26.25,S
191,239,N,2,male,19.0,0,0,10.5,S
192,240,N,2,male,33.0,0,0,12.275,S
193,243,N,2,male,29.0,0,0,10.5,S
194,244,N,3,male,22.0,0,0,7.125,S
195,245,N,3,male,30.0,0,0,7.225,C
196,246,N,1,male,44.0,2,0,90.0,Q
197,247,N,3,female,25.0,0,0,7.775,S
198,248,Y,2,female,24.0,0,2,14.5,S
199,249,Y,1,male,37.0,1,1,52.5542,S
200,250,N,2,male,54.0,1,0,26.0,S
201,252,N,3,female,29.0,1,1,10.4625,S
202,253,N,1,male,62.0,0,0,26.55,S
203,254,N,3,male,30.0,1,0,16.1,S
204,255,N,3,female,41.0,0,2,20.2125,S
205,256,Y,3,female,29.0,0,2,15.2458,C
206,258,Y,1,female,30.0,0,0,86.5,S
207,259,Y,1,female,35.0,0,0,512.3292,C
208,260,Y,2,female,50.0,0,1,26.0,S
209,262,Y,3,male,3.0,4,2,31.3875,S
210,263,N,1,male,52.0,1,1,79.65,S
211,264,N,1,male,40.0,0,0,0.0,S
212,266,N,2,male,36.0,0,0,10.5,S
213,267,N,3,male,16.0,4,1,39.6875,S
214,268,Y,3,male,25.0,1,0,7.775,S
215,269,Y,1,female,58.0,0,1,153.4625,S
216,270,Y,1,female,35.0,0,0,135.6333,S
217,272,Y,3,male,25.0,0,0,0.0,S
218,273,Y,2,female,41.0,0,1,19.5,S
219,274,N,1,male,37.0,0,1,29.7,C
220,276,Y,1,female,63.0,1,0,77.9583,S
221,277,N,3,female,45.0,0,0,7.75,S
222,279,N,3,male,7.0,4,1,29.125,Q
223,280,Y,3,female,35.0,1,1,20.25,S
224,281,N,3,male,65.0,0,0,7.75,Q
225,282,N,3,male,28.0,0,0,7.8542,S
226,283,N,3,male,16.0,0,0,9.5,S
227,284,Y,3,male,19.0,0,0,8.05,S
228,286,N,3,male,33.0,0,0,8.6625,C
229,287,Y,3,male,30.0,0,0,9.5,S
230,288,N,3,male,22.0,0,0,7.8958,S
231,289,Y,2,male,42.0,0,0,13.0,S
232,290,Y,3,female,22.0,0,0,7.75,Q
233,291,Y,1,female,26.0,0,0,78.85,S
234,292,Y,1,female,19.0,1,0,91.0792,C
235,293,N,2,male,36.0,0,0,12.875,C
236,294,N,3,female,24.0,0,0,8.85,S
237,295,N,3,male,24.0,0,0,7.8958,S
238,297,N,3,male,23.5,0,0,7.2292,C
239,298,N,1,female,2.0,1,2,151.55,S
240,300,Y,1,female,50.0,0,1,247.5208,C
241,303,N,3,male,19.0,0,0,0.0,S
242,306,Y,1,male,0.92,1,2,151.55,S
243,308,Y,1,female,17.0,1,0,108.9,C
244,309,N,2,male,30.0,1,0,24.0,C
245,310,Y,1,female,30.0,0,0,56.9292,C
246,311,Y,1,female,24.0,0,0,83.1583,C
247,312,Y,1,female,18.0,2,2,262.375,C
248,313,N,2,female,26.0,1,1,26.0,S
249,314,N,3,male,28.0,0,0,7.8958,S
250,315,N,2,male,43.0,1,1,26.25,S
251,316,Y,3,female,26.0,0,0,7.8542,S
252,317,Y,2,female,24.0,1,0,26.0,S
253,318,N,2,male,54.0,0,0,14.0,S
254,319,Y,1,female,31.0,0,2,164.8667,S
255,320,Y,1,female,40.0,1,1,134.5,C
256,321,N,3,male,22.0,0,0,7.25,S
257,322,N,3,male,27.0,0,0,7.8958,S
258,323,Y,2,female,30.0,0,0,12.35,Q
259,324,Y,2,female,22.0,1,1,29.0,S
260,326,Y,1,female,36.0,0,0,135.6333,C
261,327,N,3,male,61.0,0,0,6.2375,S
262,328,Y,2,female,36.0,0,0,13.0,S
263,329,Y,3,female,31.0,1,1,20.525,S
264,330,Y,1,female,16.0,0,1,57.9792,C
265,332,N,1,male,45.5,0,0,28.5,S
266,333,N,1,male,38.0,0,1,153.4625,S
267,334,N,3,male,16.0,2,0,18.0,S
268,337,N,1,male,29.0,1,0,66.6,S
269,338,Y,1,female,41.0,0,0,134.5,C
270,339,Y,3,male,45.0,0,0,8.05,S
271,340,N,1,male,45.0,0,0,35.5,S
272,341,Y,2,male,2.0,1,1,26.0,S
273,342,Y,1,female,24.0,3,2,263.0,S
274,343,N,2,male,28.0,0,0,13.0,S
275,344,N,2,male,25.0,0,0,13.0,S
276,345,N,2,male,36.0,0,0,13.0,S
277,346,Y,2,female,24.0,0,0,13.0,S
278,347,Y,2,female,40.0,0,0,13.0,S
279,349,Y,3,male,3.0,1,1,15.9,S
280,350,N,3,male,42.0,0,0,8.6625,S
281,351,N,3,male,23.0,0,0,9.225,S
282,353,N,3,male,15.0,1,1,7.2292,C
283,354,N,3,male,25.0,1,0,17.8,S
284,356,N,3,male,28.0,0,0,9.5,S
285,357,Y,1,female,22.0,0,1,55.0,S
286,358,N,2,female,38.0,0,0,13.0,S
287,361,N,3,male,40.0,1,4,27.9,S
288,362,N,2,male,29.0,1,0,27.7208,C
289,363,N,3,female,45.0,0,1,14.4542,C
290,364,N,3,male,35.0,0,0,7.05,S
291,366,N,3,male,30.0,0,0,7.25,S
292,367,Y,1,female,60.0,1,0,75.25,C
293,370,Y,1,female,24.0,0,0,69.3,C
294,371,Y,1,male,25.0,1,0,55.4417,C
295,372,N,3,male,18.0,1,0,6.4958,S
296,373,N,3,male,19.0,0,0,8.05,S
297,374,N,1,male,22.0,0,0,135.6333,C
298,375,N,3,female,3.0,3,1,21.075,S
299,377,Y,3,female,22.0,0,0,7.25,S
300,378,N,1,male,27.0,0,2,211.5,C
301,379,N,3,male,20.0,0,0,4.0125,C
302,380,N,3,male,19.0,0,0,7.775,S
303,381,Y,1,female,42.0,0,0,227.525,C
304,382,Y,3,female,1.0,0,2,15.7417,C
305,383,N,3,male,32.0,0,0,7.925,S
306,384,Y,1,female,35.0,1,0,52.0,S
307,386,N,2,male,18.0,0,0,73.5,S
308,387,N,3,male,1.0,5,2,46.9,S
309,388,Y,2,female,36.0,0,0,13.0,S
310,390,Y,2,female,17.0,0,0,12.0,C
311,391,Y,1,male,36.0,1,2,120.0,S
312,392,Y,3,male,21.0,0,0,7.7958,S
313,393,N,3,male,28.0,2,0,7.925,S
314,394,Y,1,female,23.0,1,0,113.275,C
315,395,Y,3,female,24.0,0,2,16.7,S
316,396,N,3,male,22.0,0,0,7.7958,S
317,397,N,3,female,31.0,0,0,7.8542,S
318,398,N,2,male,46.0,0,0,26.0,S
319,399,N,2,male,23.0,0,0,10.5,S
320,400,Y,2,female,28.0,0,0,12.65,S
321,401,Y,3,male,39.0,0,0,7.925,S
322,402,N,3,male,26.0,0,0,8.05,S
323,403,N,3,female,21.0,1,0,9.825,S
324,404,N,3,male,28.0,1,0,15.85,S
325,405,N,3,female,20.0,0,0,8.6625,S
326,406,N,2,male,34.0,1,0,21.0,S
327,407,N,3,male,51.0,0,0,7.75,S
328,408,Y,2,male,3.0,1,1,18.75,S
329,409,N,3,male,21.0,0,0,7.775,S
330,413,Y,1,female,33.0,1,0,90.0,Q
331,415,Y,3,male,44.0,0,0,7.925,S
332,417,Y,2,female,34.0,1,1,32.5,S
333,418,Y,2,female,18.0,0,2,13.0,S
334,419,N,2,male,30.0,0,0,13.0,S
335,420,N,3,female,10.0,0,2,24.15,S
336,422,N,3,male,21.0,0,0,7.7333,Q
337,423,N,3,male,29.0,0,0,7.875,S
338,424,N,3,female,28.0,1,1,14.4,S
339,425,N,3,male,18.0,1,1,20.2125,S
340,427,Y,2,female,28.0,1,0,26.0,S
341,428,Y,2,female,19.0,0,0,26.0,S
342,430,Y,3,male,32.0,0,0,8.05,S
343,431,Y,1,male,28.0,0,0,26.55,S
344,433,Y,2,female,42.0,1,0,26.0,S
345,434,N,3,male,17.0,0,0,7.125,S
346,435,N,1,male,50.0,1,0,55.9,S
347,436,Y,1,female,14.0,1,2,120.0,S
348,437,N,3,female,21.0,2,2,34.375,S
349,438,Y,2,female,24.0,2,3,18.75,S
350,439,N,1,male,64.0,1,4,263.0,S
351,440,N,2,male,31.0,0,0,10.5,S
352,441,Y,2,female,45.0,1,1,26.25,S
353,442,N,3,male,20.0,0,0,9.5,S
354,443,N,3,male,25.0,1,0,7.775,S
355,444,Y,2,female,28.0,0,0,13.0,S
356,446,Y,1,male,4.0,0,2,81.8583,S
357,447,Y,2,female,13.0,0,1,19.5,S
358,448,Y,1,male,34.0,0,0,26.55,S
359,449,Y,3,female,5.0,2,1,19.2583,C
360,450,Y,1,male,52.0,0,0,30.5,S
361,451,N,2,male,36.0,1,2,27.75,S
362,453,N,1,male,30.0,0,0,27.75,C
363,454,Y,1,male,49.0,1,0,89.1042,C
364,456,Y,3,male,29.0,0,0,7.8958,C
365,457,N,1,male,65.0,0,0,26.55,S
366,459,Y,2,female,50.0,0,0,10.5,S
367,461,Y,1,male,48.0,0,0,26.55,S
368,462,N,3,male,34.0,0,0,8.05,S
369,463,N,1,male,47.0,0,0,38.5,S
370,464,N,2,male,48.0,0,0,13.0,S
371,466,N,3,male,38.0,0,0,7.05,S
372,468,N,1,male,56.0,0,0,26.55,S
373,470,Y,3,female,0.75,2,1,19.2583,C
374,472,N,3,male,38.0,0,0,8.6625,S
375,473,Y,2,female,33.0,1,2,27.75,S
376,474,Y,2,female,23.0,0,0,13.7917,C
377,475,N,3,female,22.0,0,0,9.8375,S
378,477,N,2,male,34.0,1,0,21.0,S
379,478,N,3,male,29.0,1,0,7.0458,S
380,479,N,3,male,22.0,0,0,7.5208,S
381,480,Y,3,female,2.0,0,1,12.2875,S
382,481,N,3,male,9.0,5,2,46.9,S
383,483,N,3,male,50.0,0,0,8.05,S
384,484,Y,3,female,63.0,0,0,9.5875,S
385,485,Y,1,male,25.0,1,0,91.0792,C
386,487,Y,1,female,35.0,1,0,90.0,S
387,488,N,1,male,58.0,0,0,29.7,C
388,489,N,3,male,30.0,0,0,8.05,S
389,490,Y,3,male,9.0,1,1,15.9,S
390,492,N,3,male,21.0,0,0,7.25,S
391,493,N,1,male,55.0,0,0,30.5,S
392,494,N,1,male,71.0,0,0,49.5042,C
393,495,N,3,male,21.0,0,0,8.05,S
394,497,Y,1,female,54.0,1,0,78.2667,C
395,499,N,1,female,25.0,1,2,151.55,S
396,500,N,3,male,24.0,0,0,7.7958,S
397,501,N,3,male,17.0,0,0,8.6625,S
398,502,N,3,female,21.0,0,0,7.75,Q
399,504,N,3,female,37.0,0,0,9.5875,S
400,505,Y,1,female,16.0,0,0,86.5,S
401,506,N,1,male,18.0,1,0,108.9,C
402,507,Y,2,female,33.0,0,2,26.0,S
403,509,N,3,male,28.0,0,0,22.525,S
404,510,Y,3,male,26.0,0,0,56.4958,S
405,511,Y,3,male,29.0,0,0,7.75,Q
406,513,Y,1,male,36.0,0,0,26.2875,S
407,514,Y,1,female,54.0,1,0,59.4,C
408,515,N,3,male,24.0,0,0,7.4958,S
409,516,N,1,male,47.0,0,0,34.0208,S
410,517,Y,2,female,34.0,0,0,10.5,S
411,519,Y,2,female,36.0,1,0,26.0,S
412,520,N,3,male,32.0,0,0,7.8958,S
413,521,Y,1,female,30.0,0,0,93.5,S
414,522,N,3,male,22.0,0,0,7.8958,S
415,524,Y,1,female,44.0,0,1,57.9792,C
416,526,N,3,male,40.5,0,0,7.75,Q
417,527,Y,2,female,50.0,0,0,10.5,S
418,529,N,3,male,39.0,0,0,7.925,S
419,530,N,2,male,23.0,2,1,11.5,S
420,531,Y,2,female,2.0,1,1,26.0,S
421,533,N,3,male,17.0,1,1,7.2292,C
422,535,N,3,female,30.0,0,0,8.6625,S
423,536,Y,2,female,7.0,0,2,26.25,S
424,537,N,1,male,45.0,0,0,26.55,S
425,538,Y,1,female,30.0,0,0,106.425,C
426,540,Y,1,female,22.0,0,2,49.5,C
427,541,Y,1,female,36.0,0,2,71.0,S
428,542,N,3,female,9.0,4,2,31.275,S
429,543,N,3,female,11.0,4,2,31.275,S
430,544,Y,2,male,32.0,1,0,26.0,S
431,545,N,1,male,50.0,1,0,106.425,C
432,546,N,1,male,64.0,0,0,26.0,S
433,547,Y,2,female,19.0,1,0,26.0,S
434,549,N,3,male,33.0,1,1,20.525,S
435,550,Y,2,male,8.0,1,1,36.75,S
436,551,Y,1,male,17.0,0,2,110.8833,C
437,552,N,2,male,27.0,0,0,26.0,S
438,554,Y,3,male,22.0,0,0,7.225,C
439,555,Y,3,female,22.0,0,0,7.775,S
440,556,N,1,male,62.0,0,0,26.55,S
441,557,Y,1,female,48.0,1,0,39.6,C
442,559,Y,1,female,39.0,1,1,79.65,S
443,560,Y,3,female,36.0,1,0,17.4,S
444,562,N,3,male,40.0,0,0,7.8958,S
445,563,N,2,male,28.0,0,0,13.5,S
446,566,N,3,male,24.0,2,0,24.15,S
447,567,N,3,male,19.0,0,0,7.8958,S
448,568,N,3,female,29.0,0,4,21.075,S
449,570,Y,3,male,32.0,0,0,7.8542,S
450,571,Y,2,male,62.0,0,0,10.5,S
451,572,Y,1,female,53.0,2,0,51.4792,S
452,573,Y,1,male,36.0,0,0,26.3875,S
453,575,N,3,male,16.0,0,0,8.05,S
454,576,N,3,male,19.0,0,0,14.5,S
455,577,Y,2,female,34.0,0,0,13.0,S
456,578,Y,1,female,39.0,1,0,55.9,S
457,580,Y,3,male,32.0,0,0,7.925,S
458,581,Y,2,female,25.0,1,1,30.0,S
459,582,Y,1,female,39.0,1,1,110.8833,C
460,583,N,2,male,54.0,0,0,26.0,S
461,584,N,1,male,36.0,0,0,40.125,C
462,586,Y,1,female,18.0,0,2,79.65,S
463,587,N,2,male,47.0,0,0,15.0,S
464,588,Y,1,male,60.0,1,1,79.2,C
465,589,N,3,male,22.0,0,0,8.05,S
466,591,N,3,male,35.0,0,0,7.125,S
467,592,Y,1,female,52.0,1,0,78.2667,C
468,593,N,3,male,47.0,0,0,7.25,S
469,595,N,2,male,37.0,1,0,26.0,S
470,596,N,3,male,36.0,1,1,24.15,S
471,598,N,3,male,49.0,0,0,0.0,S
472,600,Y,1,male,49.0,1,0,56.9292,C
473,601,Y,2,female,24.0,2,1,27.0,S
474,604,N,3,male,44.0,0,0,8.05,S
475,605,Y,1,male,35.0,0,0,26.55,C
476,606,N,3,male,36.0,1,0,15.55,S
477,607,N,3,male,30.0,0,0,7.8958,S
478,608,Y,1,male,27.0,0,0,30.5,S
479,609,Y,2,female,22.0,1,2,41.5792,C
480,610,Y,1,female,40.0,0,0,153.4625,S
481,611,N,3,female,39.0,1,5,31.275,S
482,615,N,3,male,35.0,0,0,8.05,S
483,616,Y,2,female,24.0,1,2,65.0,S
484,617,N,3,male,34.0,1,1,14.4,S
485,618,N,3,female,26.0,1,0,16.1,S
486,619,Y,2,female,4.0,2,1,39.0,S
487,620,N,2,male,26.0,0,0,10.5,S
488,621,N,3,male,27.0,1,0,14.4542,C
489,622,Y,1,male,42.0,1,0,52.5542,S
490,623,Y,3,male,20.0,1,1,15.7417,C
491,624,N,3,male,21.0,0,0,7.8542,S
492,625,N,3,male,21.0,0,0,16.1,S
493,626,N,1,male,61.0,0,0,32.3208,S
494,627,N,2,male,57.0,0,0,12.35,Q
495,628,Y,1,female,21.0,0,0,77.9583,S
496,629,N,3,male,26.0,0,0,7.8958,S
497,631,Y,1,male,80.0,0,0,30.0,S
498,632,N,3,male,51.0,0,0,7.0542,S
499,633,Y,1,male,32.0,0,0,30.5,C
500,635,N,3,female,9.0,3,2,27.9,S
501,636,Y,2,female,28.0,0,0,13.0,S
502,637,N,3,male,32.0,0,0,7.925,S
503,638,N,2,male,31.0,1,1,26.25,S
504,639,N,3,female,41.0,0,5,39.6875,S
505,641,N,3,male,20.0,0,0,7.8542,S
506,642,Y,1,female,24.0,0,0,69.3,C
507,643,N,3,female,2.0,3,2,27.9,S
508,645,Y,3,female,0.75,2,1,19.2583,C
509,646,Y,1,male,48.0,1,0,76.7292,C
510,647,N,3,male,19.0,0,0,7.8958,S
511,648,Y,1,male,56.0,0,0,35.5,C
512,650,Y,3,female,23.0,0,0,7.55,S
513,652,Y,2,female,18.0,0,1,23.0,S
514,653,N,3,male,21.0,0,0,8.4333,S
515,655,N,3,female,18.0,0,0,6.75,Q
516,656,N,2,male,24.0,2,0,73.5,S
517,658,N,3,female,32.0,1,1,15.5,Q
518,659,N,2,male,23.0,0,0,13.0,S
519,660,N,1,male,58.0,0,2,113.275,C
520,661,Y,1,male,50.0,2,0,133.65,S
521,662,N,3,male,40.0,0,0,7.225,C
522,663,N,1,male,47.0,0,0,25.5875,S
523,664,N,3,male,36.0,0,0,7.4958,S
524,665,Y,3,male,20.0,1,0,7.925,S
525,666,N,2,male,32.0,2,0,73.5,S
526,667,N,2,male,25.0,0,0,13.0,S
527,669,N,3,male,43.0,0,0,8.05,S
528,671,Y,2,female,40.0,1,1,39.0,S
529,672,N,1,male,31.0,1,0,52.0,S
530,673,N,2,male,70.0,0,0,10.5,S
531,674,Y,2,male,31.0,0,0,13.0,S
532,676,N,3,male,18.0,0,0,7.775,S
533,677,N,3,male,24.5,0,0,8.05,S
534,678,Y,3,female,18.0,0,0,9.8417,S
535,679,N,3,female,43.0,1,6,46.9,S
536,680,Y,1,male,36.0,0,1,512.3292,C
537,682,Y,1,male,27.0,0,0,76.7292,C
538,683,N,3,male,20.0,0,0,9.225,S
539,684,N,3,male,14.0,5,2,46.9,S
540,685,N,2,male,60.0,1,1,39.0,S
541,686,N,2,male,25.0,1,2,41.5792,C
542,687,N,3,male,14.0,4,1,39.6875,S
543,688,N,3,male,19.0,0,0,10.1708,S
544,689,N,3,male,18.0,0,0,7.7958,S
545,690,Y,1,female,15.0,0,1,211.3375,S
546,691,Y,1,male,31.0,1,0,57.0,S
547,692,Y,3,female,4.0,0,1,13.4167,C
548,694,N,3,male,25.0,0,0,7.225,C
549,695,N,1,male,60.0,0,0,26.55,S
550,696,N,2,male,52.0,0,0,13.5,S
551,697,N,3,male,44.0,0,0,8.05,S
552,699,N,1,male,49.0,1,1,110.8833,C
553,700,N,3,male,42.0,0,0,7.65,S
554,701,Y,1,female,18.0,1,0,227.525,C
555,702,Y,1,male,35.0,0,0,26.2875,S
556,703,N,3,female,18.0,0,1,14.4542,C
557,704,N,3,male,25.0,0,0,7.7417,Q
558,705,N,3,male,26.0,1,0,7.8542,S
559,706,N,2,male,39.0,0,0,26.0,S
560,707,Y,2,female,45.0,0,0,13.5,S
561,708,Y,1,male,42.0,0,0,26.2875,S
